"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"a",2.31952509159618,1.97571167347994,1.59426397218405,1.23926257379657,0.215248274061235,0.999994317097505,"a"
"A1cf",1.42884803793062,1.9777708930966,2.46657192303763,0.80182980866049,0.422651413111176,0.999994317097505,"A1cf"
"A2m",518.455566435457,0.484668382413475,0.405261783491663,1.19593902548042,0.231720354491714,0.999994317097505,"A2m"
"A2ml1",2.24737508101185,3.62184022755049,1.66418438605903,2.17634551669325,0.029529434456189,0.790512038776571,"A2ml1"
"A3galt2",12.8929141112121,-0.540552837150732,0.626357081002048,-0.863010658849668,0.388131606594027,0.999994317097505,"A3galt2"
"A4galt",328.481588975639,0.177221587846179,0.320846260692017,0.552356718959224,0.580703977662952,0.999994317097505,"A4galt"
"A4gnt",3.6730542712559,0.382940372326352,1.07444367210852,0.356408048432039,0.721535002827296,0.999994317097505,"A4gnt"
"AA386476",25.9459316363918,0.510583237847524,0.346095415205951,1.47526726854701,0.140140702592378,0.999994317097505,"AA386476"
"AA387883",0.554037612935296,-0.770980471130943,4.42343059919736,-0.174294691380676,0.861633871056536,0.999994317097505,"AA387883"
"AA388235",3.95657195579156,-1.02547726439624,1.06170437086309,-0.965878348567596,0.334105057658531,0.999994317097505,"AA388235"
"AA413626",4.98299170975085,-1.35994952802091,0.856388687931822,-1.5880050112586,0.11228520595229,0.974506997016881,"AA413626"
"AA414768",238.533221164329,0.121473663709819,0.181247810404997,0.670207620375589,0.502725446747836,0.999994317097505,"AA414768"
"AA465934",7.08008043441594,-1.12887926063018,0.623438980740609,-1.8107293504316,0.0701827572113359,0.915488346043464,"AA465934"
"AA467197",681.358826231206,-0.560859192920755,0.411026133379966,-1.36453414362896,0.172399515744756,0.999994317097505,"AA467197"
"AA474408",35.7084525597417,1.22898010380463,0.574364497264087,2.1397215699416,0.0323772748041774,0.808662431141526,"AA474408"
"AA536875",1.13592759253639,1.88363758157042,2.28796731287712,0.823279935412078,0.4103488210326,0.999994317097505,"AA536875"
"AA543401",0,NA,NA,NA,NA,NA,"AA543401"
"AA914427",13.5046224239576,0.320963803861445,0.463426764089656,0.69258797448166,0.488568159188555,0.999994317097505,"AA914427"
"AA986860",42.8090728741214,0.21540498928464,0.501238129731354,0.429745816424799,0.667380551340566,0.999994317097505,"AA986860"
"Aaas",451.065023932892,-0.0410037822434493,0.141379783368017,-0.29002578209301,0.771796513623507,0.999994317097505,"Aaas"
"Aacs",728.977679872953,0.230045114834472,0.104049424002138,2.21092156002463,0.0270412693913237,0.770166804199863,"Aacs"
"Aadac",3.2549392298497,5.74349537351557,3.4407097038654,1.6692763609389,0.0950626228082285,0.95516895724583,"Aadac"
"Aadacl2fm1",3.11435486975019,4.64817350940941,4.20103476499316,1.10643538304949,NA,NA,"Aadacl2fm1"
"Aadacl2fm2",0.392343136721932,3.12764666412407,4.36583553787036,0.716391315475371,0.473749755885374,0.999994317097505,"Aadacl2fm2"
"Aadacl4",0.614316735895664,-1.62740480322481,3.0940058172701,-0.52598634241118,0.598897696318657,0.999994317097505,"Aadacl4"
"Aadacl4fm2",0.303434739074744,0.00351473067244735,4.43427984507161,0.000792627167262284,0.99936757508699,0.999994317097505,"Aadacl4fm2"
"AAdacl4fm3",0.373193701407253,-1.00459488691232,4.43580428702774,-0.226474123272345,0.820832683055924,0.999994317097505,"AAdacl4fm3"
"Aadat",1.09717414639533,1.7758340135187,2.60769213857358,0.680998338435031,0.495872541795853,0.999994317097505,"Aadat"
"Aagab",1233.74085748935,0.023092953742737,0.0989570525540412,0.233363394995276,0.815479235077546,0.999994317097505,"Aagab"
"Aak1",2655.62165164466,0.00242955220621405,0.0904629990798041,0.0268568611579057,0.978573900903482,0.999994317097505,"Aak1"
"Aamdc",138.731891666114,0.180791460015814,0.186604171113025,0.968850047335272,0.332620011814858,0.999994317097505,"Aamdc"
"Aamp",2854.01994097772,0.00665786933725803,0.0622139884830679,0.107015632651008,0.914776577913219,0.999994317097505,"Aamp"
"Aanat",4.95051341687159,0.196932799812885,1.72588565917077,0.114105357308262,0.909154275446935,0.999994317097505,"Aanat"
"Aar2",707.378016569753,0.140678064325953,0.0840437102941211,1.67386784607239,0.0941565747183644,0.95516895724583,"Aar2"
"Aard",1.31519465873209,1.57280376011946,1.73761915754436,0.905148722198811,0.365386603267081,0.999994317097505,"Aard"
"Aars",3311.09034497107,0.00745221125745865,0.0837901904098601,0.0889389464447584,0.929130431393006,0.999994317097505,"Aars"
"Aars2",277.977145712308,0.0358076305006503,0.126171037309626,0.28380229935637,0.776561892320016,0.999994317097505,"Aars2"
"Aarsd1",400.803109795133,0.0690919694648851,0.137122196840488,0.503871517937092,0.614351666587376,0.999994317097505,"Aarsd1"
"Aasdh",238.298965862948,-0.178754782577009,0.14052928367542,-1.27201091403752,0.203369241502182,0.999994317097505,"Aasdh"
"Aasdhppt",406.492840070993,-0.0420697158412737,0.0838629763646977,-0.50164825605907,0.615914968466141,0.999994317097505,"Aasdhppt"
"Aass",10.6372178923594,0.595466315700704,1.27742246823156,0.466146737285008,0.641110471158853,0.999994317097505,"Aass"
"Aatf",505.88132391468,-0.0790402115899193,0.0967418227181997,-0.817022145842305,0.413915772382669,0.999994317097505,"Aatf"
"Aatk",479.381089970093,-0.16075355924161,0.125827813788671,-1.27756776821694,0.201401871409492,0.999994317097505,"Aatk"
"AB124611",1231.92541181821,-0.118536870322484,0.140338783283419,-0.844647983609025,0.398307409828609,0.999994317097505,"AB124611"
"Abat",25.9153074735359,1.18432659266397,0.497900571810102,2.37864075624254,0.0173766013866802,0.679810626459513,"Abat"
"Abca1",28949.0972814071,-0.273564489978739,0.159842863521603,-1.71145889126146,0.0869964337256166,0.941850589908573,"Abca1"
"Abca12",38.918237504112,2.36662278019624,1.8008895039358,1.31414102587862,NA,NA,"Abca12"
"Abca13",19.9189682457079,-0.271649966271776,0.39875888113515,-0.681238661063718,0.49572048870413,0.999994317097505,"Abca13"
"Abca14",0.0570789008304916,0.149538723129148,4.43580428714423,0.0337117495383054,0.973107009522379,0.999994317097505,"Abca14"
"Abca17",2.20595650542214,-0.7056629953803,1.18000899493818,-0.598014929044898,0.549829971749121,0.999994317097505,"Abca17"
"Abca2",1430.22175409778,-0.0181921191997224,0.138071453386017,-0.131758728930457,0.895175131415265,0.999994317097505,"Abca2"
"Abca3",2081.80025872905,0.00108200905772413,0.0720149931140155,0.0150247748550232,0.988012415135947,0.999994317097505,"Abca3"
"Abca4",22.4609637619276,0.75051175253508,0.683904854353712,1.09739205352521,0.272470045661976,0.999994317097505,"Abca4"
"Abca5",289.320484380126,0.229196050592847,0.221126292846184,1.03649388610822,0.299971790251355,0.999994317097505,"Abca5"
"Abca6",70.5941203525974,0.15989203877318,0.347771410070392,0.459761884223939,0.645687144740194,0.999994317097505,"Abca6"
"Abca7",1386.39105594032,-0.141458889204221,0.094384444507705,-1.49875215076011,0.133937942022313,0.99785402692521,"Abca7"
"Abca8a",69.3204755879086,-0.314628276073403,0.644335026761516,-0.488299196855326,0.625337930285476,0.999994317097505,"Abca8a"
"Abca8b",116.642250044127,0.0371773772400522,0.296399292830542,0.125430047032222,0.900183101855879,0.999994317097505,"Abca8b"
"Abca9",1076.86115416009,0.0911239391898576,0.272827386060496,0.333998505449346,0.738380686454438,0.999994317097505,"Abca9"
"Abcb10",434.471528101712,0.012806387573154,0.0987771050983234,0.129649351035409,0.896843856244818,0.999994317097505,"Abcb10"
"Abcb11",9.01822151000141,0.877461808921498,1.10451085850021,0.794434751065264,0.426942380202312,0.999994317097505,"Abcb11"
"Abcb1a",161.26729219542,-0.326979602949745,0.278560988198802,-1.17381692628254,0.240468362754376,0.999994317097505,"Abcb1a"
"Abcb1b",641.807632892345,-0.160601770146551,0.124714125666891,-1.28775925972904,0.197829778042035,0.999994317097505,"Abcb1b"
"Abcb4",234.818752320669,-0.233551682560104,0.281843862474808,-0.828656265598045,0.407298939851137,0.999994317097505,"Abcb4"
"Abcb6",330.779165877223,0.0243409546743383,0.141637533780644,0.171853844278562,0.863552433556159,0.999994317097505,"Abcb6"
"Abcb7",1209.32967863947,-0.141530703455497,0.105012390341361,-1.34775242231347,0.177738025110105,0.999994317097505,"Abcb7"
"Abcb8",608.799659937232,0.199496319826711,0.132934745455878,1.50070863070878,0.133430939784621,0.99785402692521,"Abcb8"
"Abcb9",48.1403175728315,-0.00760749868607212,0.321237675221536,-0.0236818383174568,0.981106392866843,0.999994317097505,"Abcb9"
"Abcc1",7039.69171149222,-0.225981205582231,0.203473263040662,-1.11061867394868,0.266732521317829,0.999994317097505,"Abcc1"
"Abcc10",243.07657890082,0.0869577806385994,0.146732322578288,0.592628666340395,0.553429690127521,0.999994317097505,"Abcc10"
"Abcc12",0.680487842549494,0.458822779905736,2.8952242138851,0.158475733141939,0.874081941161487,0.999994317097505,"Abcc12"
"Abcc2",18.8220114906323,1.41836471905335,0.888933476905556,1.59558027220528,0.110582534931438,0.969782606241612,"Abcc2"
"Abcc3",2428.97121027672,-0.205393388696114,0.14593858224852,-1.40739608081397,0.159309972707993,0.999994317097505,"Abcc3"
"Abcc4",863.086985984156,-0.0459096393344239,0.101832192203102,-0.450836207501632,0.652107603373935,0.999994317097505,"Abcc4"
