"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"a",2.31952509159618,-2.45071556229162,2.17252932753163,-1.12804717120945,0.259299998154084,0.951103232813427,"a"
"A1cf",1.42884803793062,1.60333244076474,3.3723169271274,0.475439430934651,0.634473795096913,0.999829069205013,"A1cf"
"A2m",518.455566435457,0.4433734665643,0.561239929459151,0.789989170926533,0.429534092615089,0.983351321215133,"A2m"
"A2ml1",2.24737508101185,-1.05782975697777,2.51229251352821,-0.42106154091594,0.673710144145653,0.999829069205013,"A2ml1"
"A3galt2",12.8929141112121,0.590083289886295,0.840008633059216,0.7024728873765,0.482384304267548,0.994041287247469,"A3galt2"
"A4galt",328.481588975639,0.0497954336348187,0.441628136835711,0.112754214420317,0.910225418371359,0.999829069205013,"A4galt"
"A4gnt",3.6730542712559,0.380826171952338,1.44916688040451,0.262789729120802,0.792712652364544,0.999829069205013,"A4gnt"
"AA386476",25.9459316363918,-0.227793382237032,0.451363119545003,-0.50467876610446,0.613784477317632,0.999829069205013,"AA386476"
"AA387883",0.554037612935296,0.404900392969874,6.07984991656814,0.0665971033045542,0.946902451856028,0.999829069205013,"AA387883"
"AA388235",3.95657195579156,-0.715347574473056,1.41046156578845,-0.507172681499602,0.612033661328337,0.999829069205013,"AA388235"
"AA413626",4.98299170975085,1.0937639233483,1.11326224393522,0.98248542004084,0.325860762322618,0.971551079413757,"AA413626"
"AA414768",238.533221164329,-0.00128392099795401,0.250745733629426,-0.00512041014365372,0.995914521653995,0.999829069205013,"AA414768"
"AA465934",7.08008043441594,1.58195322607349,0.79046037873993,2.00130616109472,0.0453594061995317,0.840308379594886,"AA465934"
"AA467197",681.358826231206,0.210537829528359,0.569132819809192,0.369927409209934,0.711436578278896,0.999829069205013,"AA467197"
"AA474408",35.7084525597417,-1.46099405235639,0.790566053292617,-1.8480353997892,0.0645972219363137,0.871722684025977,"AA474408"
"AA536875",1.13592759253639,-3.13779026269614,3.2099715398473,-0.977513421457128,0.328315036490805,0.971653130689454,"AA536875"
"AA543401",0,NA,NA,NA,NA,NA,"AA543401"
"AA914427",13.5046224239576,0.119770000894091,0.614222446000793,0.194994503496111,0.84539725060609,0.999829069205013,"AA914427"
"AA986860",42.8090728741214,-0.390465421872865,0.693509631178463,-0.563028117157301,0.573415737894747,0.999829069205013,"AA986860"
"Aaas",451.065023932892,-0.221905860085351,0.193829984293049,-1.1448479495817,0.252272148596223,0.951082264845228,"Aaas"
"Aacs",728.977679872953,-0.0903861017657986,0.142802537267428,-0.632944648571137,0.526769789630365,0.999617672306885,"Aacs"
"Aadac",3.2549392298497,-1.13964774881565,4.83774679128658,-0.235574079831608,0.813763188731773,0.999829069205013,"Aadac"
"Aadacl2fm1",3.11435486975019,-3.29361593832252,5.89638511311636,-0.558582228795733,NA,NA,"Aadacl2fm1"
"Aadacl2fm2",0.392343136721932,-1.70196185407914,6.10852002834171,-0.278620982853873,0.78053570814764,0.999829069205013,"Aadacl2fm2"
